ID,distanza totale percorsa (Km),tempo totale di percorrenza(s),tempo totale di attesa(s),velocità media(Km/h),emissioni totali di CO2(Kg),emissioni totali di CO(Kg),emissioni totali di HC(Kg),emissioni totali di PMx(Kg),emissioni totali di NOx(Kg),consumo totale di carburante(Kg),emissione totale di rumore(dBA)
Semaforo a ciclo fisso 1,,,,,,,,,,,
vehicle574,0.2672956703903442,36.19999999999993,13.2,1.6404316946738808,0.1098486584766989,3.2587235903874734e-05,1.2443217796055258e-05,2.893968283831645e-05,0.0006258665072925428,0.035302117001379085,22190.061304489584
vehicle397,0.2674460254019749,24.699999999999932,0.2,1.6384610219306979,0.07426983759509533,0.00026404370860417387,2.304180175923846e-06,4.43333399417111e-06,2.2016342647697322e-05,0.024075695067660836,15870.324785068564
vehicle506,0.2659722522093618,21.600000000000023,0.0,1.6074803080144053,0.05361212932740505,2.1246292856154582e-05,5.605378082024277e-06,5.048591654860928e-06,0.00011543216776954464,0.017229492524714278,13825.577073483459
vehicle621,0.2646757344245745,18.800000000000068,0.0,1.5788272104807088,0.05883034754049566,9.96735560349341e-06,2.5028153111026004e-06,6.013706358736668e-06,0.00024228033539262453,0.018907075617912873,12316.160892882257
vehicle643,0.26709957063656203,18.5,0.0,1.5667890112824736,0.049517658643376934,1.921834583627423e-05,5.149131125782996e-06,5.288371480581596e-06,0.00011643342271107681,0.015913604449764453,12108.821351718743
vehicle531,0.26453443190042253,15.799999999999955,0.0,1.5325303138225934,0.04736451183917459,6.569636440098373e-06,1.617840548261457e-06,6.491356650574547e-06,0.00029622820696111366,0.015220856426753514,10588.52661086199
vehicle637,0.26733003458089605,34.700000000000045,11.8,1.4766583786289704,0.10445015639882359,2.2433845969868278e-05,4.786292495590485e-06,6.0368826623085594e-06,0.0003780946666897202,0.03356739324228835,21441.246175692308
vehicle630,0.2670937799947518,22.700000000000045,1.6,1.4799129040162422,0.09394387490564202,1.4844773810722508e-05,2.223799310208127e-06,5.001207697963957e-06,0.0005020143373275861,0.03019100193320116,14811.748356323853
vehicle505,0.2672850805563691,16.699999999999932,0.0,1.470292396175309,0.040530087030910315,1.6882557748725852e-05,4.328642929738875e-06,5.815471623508659e-06,0.00010051573251320783,0.013024954127789467,11051.70349471019
vehicle571,0.268254911297391,18.5,0.0,1.446560034869957,0.044213761891414946,6.931732451111664e-06,1.6865810427331438e-06,6.0087816403549715e-06,0.0002669475842547145,0.014208236344333063,12074.576295715045
vehicle433,0.2665235336945551,17.5,0.0,1.4170753898652988,0.037173306886077236,0.0001583267236314779,1.46931243963078e-06,4.999574413392501e-06,9.725792185346974e-06,0.012050980043320078,11510.977755498161
vehicle389,0.2656080317285047,19.0,0.0,1.3824148290284703,0.06390197747725529,0.0008048286579580813,4.552524146722905e-06,5.43189916141194e-06,7.254515827809889e-06,0.020718498678147113,12675.379022764262
vehicle494,0.26743149957981227,15.899999999999977,0.0,1.3819376835493842,0.04415671873129533,1.6740392042945913e-05,4.571912716651371e-06,5.1990005077789255e-06,0.0001142471916632432,0.014190728357806954,10626.25801635015
vehicle440,0.26679442367798323,17.5,0.0,1.3537321233933988,0.04276445545849224,0.00019948632028020464,1.7670417291473372e-06,5.014698363932006e-06,1.1013340130494935e-05,0.013863210573631735,11545.534702891156
vehicle474,0.2686245797009352,18.700000000000045,0.0,1.3397395653452604,0.04092885935181373,6.662932871733546e-06,1.6948253973938415e-06,6.10793439096158e-06,0.00024887712361199623,0.013152486989687457,12166.257552559975
vehicle417,0.2667699140666707,20.100000000000023,0.0,1.3071567180696482,0.05105255438306367,0.0006040051888096321,3.4269131221841955e-06,4.987218821971608e-06,6.2050881108516285e-06,0.01655248214820929,13058.871844442725
vehicle658,0.2651607922239115,18.5,0.0,1.2845658972168679,0.060928973595251276,8.414881877968557e-06,1.5968974273123913e-06,4.938955107380185e-06,0.0003539579108061062,0.019580499029019933,12164.376185221454
vehicle486,0.26599238170717876,19.100000000000023,0.0,1.2656813242197695,0.0792607051125081,1.763419078880835e-05,6.946543914516591e-06,2.048340344591961e-05,0.0004310246440361395,0.02547242032732056,12734.2018944717
vehicle676,0.26590605083842306,19.299999999999955,0.0,1.2490347459197078,0.04766075413470859,5.465713805560483e-06,3.910376162158901e-06,1.5867916827385796e-05,0.00036524467147938623,0.015315736357924267,12540.201310690449
vehicle618,0.2650500247743403,19.800000000000068,0.0,1.2272394228048054,0.04515170141862467,9.249680295282813e-06,2.547784492917333e-06,6.280087616575118e-06,0.00017738940497996966,0.014511951091896475,12764.854845627096
vehicle712,0.26361481854323443,16.199999999999932,0.0,1.2112215605269356,0.16989711667920665,0.0008895268857145504,0.00024470709403030854,0.00015712134332902073,0.0021044630797679015,0.054611908723910654,12535.775089858174
vehicle521,0.2655213054144456,19.699999999999932,0.0,1.1950236113138784,0.05718787656520061,1.0761027716450694e-05,2.737869567591629e-06,6.414963103438226e-06,0.00022233107229285677,0.018379601497434266,12830.525908590167
vehicle546,0.26673595008034395,17.700000000000045,0.0,1.1887337490791683,0.0524537383344077,2.0039302078352782e-05,5.430300073562198e-06,5.6166296948107385e-06,0.00012584968992553237,0.01685720516791609,11685.825726935105
vehicle542,0.26767511072839223,16.700000000000045,0.0,1.1799713813157442,0.04539458439200249,1.051223558265502e-05,4.557203378835368e-06,1.4794329021559876e-05,0.00026938896605994104,0.014589169166319225,11075.90914912713
vehicle455,0.2668080096468917,47.19999999999993,22.8,1.118607170678187,0.06548601510637689,0.0003561719091154368,2.3732078207107475e-06,5.585937903206458e-06,2.1406061801588225e-05,0.02122953335580514,15545.277239952133
vehicle481,0.2682421993347485,37.10000000000002,12.1,1.1244414846403217,0.08045512350526714,3.11359615602733e-05,8.519149352552726e-06,5.6545274329042545e-06,0.00015827570540128365,0.025856575455903374,15872.770388135392
vehicle698,0.26684654691187215,16.0,0.0,1.1103702980776906,0.042002401430318546,5.003770057137084e-06,3.602519491390333e-06,1.6188938043299597e-05,0.00034956591957102233,0.013501104440295343,10669.453912241244
vehicle699,0.2669557335106767,16.799999999999955,0.0,1.1076336824006106,0.05164579908391142,2.555145633282688e-05,7.228297406521258e-06,6.818449166357556e-06,0.00011645227584096059,0.016598462598176506,11150.784766500676
vehicle609,0.26765568144481167,16.0,0.0,1.1078145529430654,0.05323534379279934,1.8672441815790896e-05,5.37367845289198e-06,4.880566566403858e-06,0.0001392510972909434,0.017108671618748458,10728.856078471917
vehicle387,0.26672734493054917,18.0,0.0,1.0872679743605307,0.03551856913374273,0.00011677010233729174,1.2430623461572445e-06,5.957506874562706e-06,9.663377749782792e-06,0.01151513150528795,11764.176713834691
vehicle598,0.2664226183458575,17.299999999999955,0.0,1.071278553612993,0.08209837376485896,2.590540371093972e-05,8.02031659122129e-06,4.570384267490895e-06,0.00019622660357173478,0.026385202884371697,11755.709550418343
vehicle641,0.26639270202581816,17.399999999999977,0.0,1.0607887307325312,0.04182700167692768,1.1079291738547181e-05,4.752379991274656e-06,1.4892789624514731e-05,0.00024195519013848812,0.0134426157879242,11432.375856097284
vehicle427,0.2686849208211948,38.0,14.5,1.033362867603287,0.10522065193800768,0.0005669267714051288,3.7733642856299415e-06,6.863988756186769e-06,3.714758447134061e-05,0.03411109796352492,23303.17302095379
vehicle558,0.2657308211063277,27.899999999999977,0.8,1.019834221426975,0.09979528246567478,5.035311107375135e-05,1.0246169493340983e-05,3.985827695516223e-05,0.00037653768570089155,0.03207120475999479,16688.786406715255
vehicle711,0.2639237236842066,19.0,0.0,1.0128389835911942,0.2375790319663749,0.0011583804313537432,0.0002594972832443372,0.00019578121888438204,0.002931688323935389,0.07637023835524356,14522.938874327554
vehicle583,0.2662294696282951,19.800000000000068,0.0,1.0071395239839294,0.055443475954233955,8.578405967026099e-06,1.7177377947773763e-06,5.2111647861691975e-06,0.0003136136345906663,0.01781741919758653,12902.237088779435
vehicle613,0.2636040764518794,18.90000000000009,0.0,0.9883803049721286,0.05985932509173962,0.00013265115441370214,2.148842989035326e-05,3.546324766525099e-05,0.00020277749165539138,0.019237086882183483,12333.09516074644
vehicle515,0.26591809212484674,32.89999999999998,11.4,0.9727575468833772,0.08429530043263804,1.5640970595208445e-05,3.2144610834328917e-06,6.323385734634788e-06,0.0003080327156012129,0.027089912723718027,14032.929614661418
vehicle444,0.266158478703899,25.799999999999955,0.0,0.9692063998885101,0.06489403821968917,0.0003272416407612503,2.1874520096763555e-06,6.049075809482985e-06,2.1497858456468706e-05,0.021037693345145027,16251.954339066893
vehicle608,0.268173701195394,18.399999999999977,0.0,0.9713423687706129,0.06139611630527254,9.275599382070852e-06,1.9265306502757403e-06,6.344747969998391e-06,0.00035405356233950515,0.019730302134640505,12193.760163919753
vehicle392,0.2667625081341508,33.700000000000045,10.9,0.9430480820209272,0.09708074206704026,0.0006981866067709347,6.444600726325941e-05,8.162013329310668e-06,0.00015493429425399882,0.03147382271749947,20821.46731667112
vehicle442,0.2670983386148143,24.399999999999977,1.1,0.9439382269074839,0.08030046082530781,0.0009739825955370507,9.033368070462277e-06,7.509308230321955e-06,1.6610724654201464e-05,0.02603062627356095,15034.31184230423
vehicle430,0.26756744728711396,17.799999999999955,0.0,0.9405902631474912,0.04863657306350503,0.0003971335358559984,2.65746305219254e-06,5.803790018904469e-06,1.7890058418208713e-05,0.015767323908029995,11751.902480304383
vehicle438,0.2649613569250189,18.000000000000114,0.0,0.9207364733747132,0.04563060654151814,0.0001767995759833154,1.685798336355676e-06,6.02239222689262e-06,1.2220659930022509e-05,0.014792765881662914,11865.48999591348
vehicle460,0.267370514716314,33.299999999999955,9.9,0.9070381556736621,0.07376301419790687,0.00055969612942327,4.724332746600476e-05,7.357009246242019e-06,0.00011711355436187802,0.023913476728353603,15055.153518984656
vehicle640,0.26491739029066386,22.300000000000182,0.0,0.8996555339260319,0.0855209541819639,3.016300577826033e-05,8.765849916095173e-06,5.0991080724365155e-06,0.0001744907506222438,0.027484944819003803,14482.165775634452
vehicle651,0.26458787130534145,19.700000000000045,0.0,0.8901526382230036,0.05252873130172886,2.072527417706863e-05,5.487406565925736e-06,5.39746906879991e-06,0.0001182397529451756,0.01688127273362046,12779.39087799983
vehicle667,0.26337002961029365,41.899999999999864,18.3,0.8612428539027659,0.07749043436297623,2.9415880686612106e-05,8.147902431938933e-06,5.543233597627809e-06,0.00015781565829090332,0.024903810744503364,15008.829464688315
vehicle452,0.26672598640153306,31.700000000000045,3.1,0.870724232005944,0.07129068701024115,0.0002604894836223069,2.2957070529677466e-06,4.395353455187555e-06,2.096132411747735e-05,0.023110130598038695,17516.261746495406
vehicle541,0.26713172974507876,22.5,0.0,0.8718114697154984,0.08025975928536211,1.396333071875589e-05,3.0537146946664055e-06,6.110671673430168e-06,0.00030701492206207414,0.025793174776580448,14494.824147851143
vehicle607,0.2666676060857529,19.700000000000045,0.0,0.8627671342407741,0.046216866876550376,3.2897530525634166e-05,8.062201973851011e-06,2.4089543731079193e-05,0.00018242659375995675,0.014851527085450428,12711.963949551364
vehicle697,0.2646981095505751,14.900000000000091,0.0,0.8523991049843745,0.051702740188429505,3.7573816469260407e-06,3.118652881234894e-06,1.3751631409875491e-05,0.00042782087768821874,0.016614471646382724,10094.052670191748
vehicle426,0.267321388475535,34.299999999999955,11.2,0.838191361636374,0.08663692374431747,0.00046734105609005146,3.106535807125784e-06,5.444335386078046e-06,2.9987746922014242e-05,0.028086451098879767,21106.94235624787
vehicle587,0.2653813394075766,26.299999999999955,0.0,0.828737161858704,0.07563325036322074,0.00026193120139671655,2.400598219893509e-06,5.6338743276575365e-06,2.2230810401469688e-05,0.02451827628482465,16661.815408607785
vehicle429,0.2666886398822865,18.90000000000009,0.0,0.8306478251929027,0.07327802958944729,0.0007927217754161915,4.8513018086012615e-05,8.214261004676202e-06,0.00012431797069570693,0.02375596225517681,12538.814202936885
vehicle492,0.2668899578887293,17.09999999999991,0.0,0.8255480836343642,0.05093533884472663,8.31645495622061e-06,2.2619865230830224e-06,6.162952599490871e-06,0.00022574956686433365,0.01637013457591508,11334.614385868232
vehicle695,0.2664142768231727,19.299999999999955,0.0,0.8147631578124853,0.06765190762384286,0.00018262743649616447,4.96899145328274e-05,7.53768679173862e-05,0.00037173215009398525,0.021741363450911537,12493.944259258767
vehicle390,0.2665800826341241,18.0,0.0,0.8085097341141607,0.04210734530141632,0.00015474767685488993,1.5349467028463972e-06,6.204630536059534e-06,1.1315526911362967e-05,0.01365083873420153,11826.292081190482
vehicle403,0.2641305432517158,19.700000000000045,0.0,0.7921364664851839,0.07041256154901032,0.001073441460924803,9.352433701432462e-06,6.45553335392448e-06,1.4304731942834825e-05,0.02282443903911527,13001.071282935274
vehicle638,0.26395147836248123,16.899999999999864,0.0,0.7869252340200645,0.06433928137222243,9.806296522953485e-06,2.5256137013720877e-06,6.6056742302676396e-06,0.00028683723200031335,0.020677422488984562,11291.554761549341
vehicle388,0.26679771682758385,16.5,0.0,0.7890091176877654,0.06156376264823957,0.0010877486415588886,1.9023905656735272e-05,1.1152459515494487e-05,4.5182646100293684e-05,0.019960105983733423,11102.145914665178
vehicle714,0.25808902413693363,18.799999999999955,0.0,0.7551502723467751,0.2651319637200375,9.714518467284182e-05,3.457483591115466e-07,2.1381889213196918e-05,0.0004929358612701999,0.08519900943751658,14271.988162878893
vehicle570,0.2671216388013738,17.09999999999991,0.0,0.775924275616672,0.05853211065941482,8.904110397823656e-06,2.3300455919301367e-06,6.184119533622558e-06,0.0002640136571837764,0.018811184556402977,11373.423907513847
vehicle447,0.2673667316801476,15.399999999999864,0.0,0.7718027232844266,0.04539489169893078,0.000503830837212065,3.107366822980034e-05,7.51119255674397e-06,8.55169319007596e-05,0.0147177699862675,10356.914698866842
vehicle652,0.2657398612630125,15.799999999999955,0.0,0.7601248124685777,0.04332958042082138,0.00010851895641965867,1.986058615838154e-05,2.931614290573426e-05,0.00015460111664082076,0.013924496350465216,10539.986094175836
vehicle525,0.2661923629503214,18.59999999999991,0.0,0.7513060085353425,0.05624598284191531,8.73882501695932e-06,1.9138233073880272e-06,6.399555024370829e-06,0.0003271160349589231,0.01807509864691546,12241.754784935674
vehicle436,0.26694086433003417,15.200000000000045,0.0,0.7512462023045295,0.037763818025763174,0.0002054623902425818,1.7654135463938736e-06,4.990226933641501e-06,9.286506622927413e-06,0.012242097554379988,10239.576888490536
vehicle614,0.26545790189756613,14.0,0.0,0.7419029003284702,0.03992891851196188,5.091206736298919e-06,1.378621692666728e-06,6.338957823772349e-06,0.00026286887216008393,0.012831308919371757,9533.815041349579
vehicle659,0.2639421354204327,19.0,0.0,0.727075866635882,0.04514582417027221,1.247821858250013e-05,5.207904788890493e-06,1.5350791723106912e-05,0.0002521398636933987,0.014508977644954426,12325.769099711777
