VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocità media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle302;192.78987573864424;17.80000000000001;0.0;0.7144954249884696;50.084734820262426;0.008599781262646138;0.0015723003055704305;0.003939037081299473;0.26706102112717744;16.09543625191576;0.0;11263.742644839032
vehicle303;267.0336964110679;19.700000000000045;0.0;0.1733391211300822;50.838435963639526;0.38072158853503413;0.002539843269603329;0.005584872528309957;0.018440761477495782;16.481139708085298;0.0;12811.8848493355
vehicle304;192.34911865395514;28.799999999999955;4.2;0.1990622065611141;78.0750282448583;0.8027562719223943;0.004480874316701081;0.0033957120247254478;0.009645545067020042;25.31354580024979;0.0;17680.52915502126
vehicle305;203.15198526738163;15.200000000000045;0.0;0.1237055619394614;47.032566771166586;0.01181016686158571;0.004798939619124418;0.014011547065926293;0.25875768382827974;15.115191798552289;0.0;9880.488652483267
vehicle306;265.67753256964585;35.89999999999998;11.2;0.2740104614523133;91.51864711885283;0.02194304182088951;0.004796944594175486;0.02289470711798838;0.30678618748450887;29.412385106485228;0.0;21963.173910184625
vehicle307;192.1272381869311;30.09999999999991;11.1;0.1353008873575293;60.54838050304462;0.02237142579940181;0.006368348524573233;0.0034985303844750743;0.11036087779185041;19.459193019791293;0.0;11983.548273444268
vehicle308;0;0;0;0;0;0;0;0;0;0;0;0
vehicle309;266.8977481714786;18.09999999999991;0.0;0.07552417398609043;50.681844276605055;0.0083291109822932;0.0021607574099424126;0.008026225059088567;0.3085427212545058;16.286522122724183;0.0;11931.451506821735
vehicle310;193.1454672453474;14.699999999999818;0.0;0.06610297610938061;75.01415143647787;0.022998878575848973;0.007286530693479974;0.0031539352086219132;0.16557613506862046;24.10860985247353;0.0;9828.224808484947
vehicle311;203.51062392520782;20.40000000000009;0.0;0.10418227663368372;46.39531656812409;0.018578737696148945;0.004891347623044519;0.003482461785915963;0.08888899987318521;14.91030838430524;0.0;12732.01639828759
vehicle312;0;0;0;0;0;0;0;0;0;0;0;0
vehicle313;265.46121206374545;29.399999999999977;9.7;0.41556064329638;95.51102405202252;0.020928443032515964;0.0077823082480182985;0.022912430760802526;0.5403973158972102;30.695186532833326;0.0;13025.638492678545
vehicle314;192.0347771831974;30.600000000000023;10.5;0.5509060046077218;70.37489289032895;0.26115752219853566;0.002300492181937539;0.004220351835615457;0.020638040862986505;22.81327693723812;0.0;12713.365061791104
vehicle315;192.17862353389373;13.900000000000091;0.0;0.0667908909428768;56.25623476133424;0.01917263920556152;0.005631913237382689;0.0038792539323145815;0.1275827480029388;18.07968929099388;0.0;9186.490773395042
vehicle316;194.6039115426637;16.40000000000009;0.0;0.06673060536521491;59.83729705604482;0.020089229127099126;0.005975980958455005;0.0033371142559584844;0.12207089054945763;19.2306912138404;0.0;10633.234371468752
vehicle317;193.05732070186423;16.699999999999818;0.0;0.07212488662320395;62.83548040031874;0.42288783624833465;0.0028048396173285745;0.004962826124248003;0.02136912963250643;20.370325878643932;0.0;10876.882826331535
vehicle318;193.51880811242933;34.39999999999998;14.2;0.2079590045800301;84.86467142298;0.6461223608731662;0.007253737636055543;0.005243589367542409;0.019403938441882835;27.511766789687933;0.0;20685.472805370842
vehicle319;266.781400237639;26.200000000000045;0.0;0.22079931297502503;76.1571179436358;0.49027216949409536;0.0482901837225665;0.007805110170131499;0.12188750504417561;24.690154083420257;0.0;16557.992693882396
vehicle320;193.67735253170343;16.699999999999818;0.0;0.056588064459214306;52.34885422236269;0.6163610977459687;0.014466266021971317;0.007307555825309667;0.03389011581105488;16.972150583223037;0.0;10717.472552418825
vehicle321;265.50364865285894;25.5;6.3;0.13770770397763618;96.80271308688121;0.9549656162506056;0.065544249943222;0.009057121625474573;0.15794282118441286;31.382848875497814;0.0;16344.6411194341
vehicle322;191.4716913330946;16.69999999999999;0.0;0.377061607674059;48.82417219583175;0.008225080299955534;0.0015083259145067976;0.0038732791642139843;0.26265070301082843;15.690345097426185;0.0;10657.178623440155
vehicle323;192.05827979050855;30.09999999999991;13.0;0.10929023819087515;59.144734433235804;0.857456400280118;0.017862940293246535;0.003502337127917683;0.03961667841441325;19.144376932239286;0.0;11026.122985204447
